,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
131,"Micronesia, Federated States of",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,0.119,-0.137,0.078,0.02,0.033,0.034,0.287,-0.173,-0.055,0.199,0.067,0.117,0.203,0.171,0.266,0.185,0.061,0.284,0.475,0.345,0.689,0.773,0.509,0.539,0.924,0.927,0.792,0.67,0.728,0.465,0.394,0.454,0.514,0.5740000000000001,0.6340000000000001,0.6940000000000002,0.7540000000000002,0.8140000000000003,0.8740000000000003,0.9340000000000004,0.9940000000000004,1.0540000000000005,1.1140000000000005,1.1740000000000006,1.2340000000000007,1.2940000000000007,1.3540000000000008,1.4140000000000008,1.4740000000000009
132,"Moldova, Rep. of",MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393,-0.748,1.559,0.54,-0.745,-0.518,0.722,0.832,1.396,1.607,1.348,-0.28,0.645,0.809,0.229,2.321,1.469,1.675,1.203,0.318,1.913,1.174,1.255,1.821,1.889,1.209,1.877,2.2,2.853,1.151,1.959,2.019,2.079,2.1390000000000002,2.1990000000000003,2.2590000000000003,2.3190000000000004,2.3790000000000004,2.4390000000000005,2.4990000000000006,2.5590000000000006,2.6190000000000007,2.6790000000000007,2.7390000000000008,2.799000000000001,2.859000000000001,2.919000000000001,2.979000000000001,3.039000000000001
133,Monaco,MCO,0.772,-0.013,-0.596,0.435,-0.444,0.224,0.443,0.009,-0.237,-0.039,-0.033,-0.155,0.234,-0.132,0.154,-0.003,-0.053,-0.417,-0.019,-0.352,-0.076,0.544,0.487,-0.614,-0.118,0.42,0.18,0.742,0.875,1.249,0.074,0.646,0.489,1.331,0.694,0.211,1.316,0.937,0.93,1.123,1.394,0.931,1.67,0.88,0.809,1.167,1.625,1.08,1.448,0.437,1.354,1.375,0.7,1.791,1.891,1.77,1.966,1.953,1.939,2.231,1.54,2.784,2.844,2.904,2.964,3.024,3.084,3.144,3.204,3.2640000000000002,3.3240000000000003,3.3840000000000003,3.4440000000000004,3.5040000000000004,3.5640000000000005,3.6240000000000006,3.6840000000000006,3.7440000000000007,3.8040000000000007,3.8640000000000008
134,Mongolia,MNG,0.133,-0.132,1.187,-0.184,0.847,0.375,-0.443,-0.788,-0.847,-0.292,-0.027,0.249,0.704,0.21,0.509,-0.181,0.089,0.932,0.981,0.523,0.261,1.182,0.655,-0.304,-0.393,0.412,0.218,0.675,1.376,1.568,1.115,0.861,0.508,1.347,1.284,0.43,1.966,2.151,1.797,1.013,1.708,1.805,0.533,1.795,0.956,1.252,2.762,1.798,1.438,0.348,0.804,0.277,1.06,1.91,2.161,1.425,2.534,2.236,1.871,2.384,2.029,2.236,2.2960000000000003,2.3560000000000003,2.4160000000000004,2.4760000000000004,2.5360000000000005,2.5960000000000005,2.6560000000000006,2.7160000000000006,2.7760000000000007,2.8360000000000007,2.896000000000001,2.956000000000001,3.016000000000001,3.076000000000001,3.136000000000001,3.196000000000001,3.256000000000001,3.316000000000001
135,Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,1.778,1.345,1.311,1.27,1.073,1.729,1.532,1.609,1.806,1.562,1.349,2.3,1.893,1.765,1.648,1.892,1.952,2.012,2.072,2.132,2.192,2.2520000000000002,2.3120000000000003,2.3720000000000003,2.4320000000000004,2.4920000000000004,2.5520000000000005,2.6120000000000005,2.6720000000000006,2.7320000000000007,2.7920000000000007,2.8520000000000008,2.912000000000001,2.972000000000001
136,Montserrat,MSR,0.065,-0.08,0.183,0.057,-0.441,0.158,-0.136,-0.255,0.309,0.209,-0.185,-0.073,0.31,-0.229,-0.254,-0.284,0.287,0.36,0.321,0.726,0.748,0.41,0.701,0.11,0.111,0.186,0.803,0.561,0.027,0.477,0.575,0.512,0.635,0.607,0.775,0.52,0.734,1.248,0.66,0.499,,0.699,0.977,0.609,1.007,0.75,0.887,0.3,0.521,1.294,0.581,0.684,0.702,0.708,1.002,1.174,0.925,0.788,0.879,1.179,0.879,0.787,0.847,0.907,0.9670000000000001,1.0270000000000001,1.0870000000000002,1.1470000000000002,1.2070000000000003,1.2670000000000003,1.3270000000000004,1.3870000000000005,1.4470000000000005,1.5070000000000006,1.5670000000000006,1.6270000000000007,1.6870000000000007,1.7470000000000008,1.8070000000000008,1.8670000000000009
137,Morocco,MAR,0.646,0.552,0.102,0.536,-0.262,0.484,-0.012,-0.163,-0.043,0.042,-0.873,-1.35,0.028,-0.473,-0.259,-0.851,0.064,0.352,0.481,0.596,0.497,0.505,0.799,0.282,0.867,0.265,1.096,1.018,0.731,1.463,0.192,0.26,0.284,1.133,1.29,1.05,1.375,1.634,1.06,1.045,1.9,1.255,1.711,1.125,1.277,1.474,1.012,1.161,1.26,2.127,1.793,1.388,1.311,1.664,1.22,1.881,2.159,0.627,1.517,2.147,1.817,2.298,2.358,2.418,2.478,2.5380000000000003,2.5980000000000003,2.6580000000000004,2.7180000000000004,2.7780000000000005,2.8380000000000005,2.8980000000000006,2.9580000000000006,3.0180000000000007,3.0780000000000007,3.138000000000001,3.198000000000001,3.258000000000001,3.318000000000001,3.378000000000001
138,"Mozambique, Rep. of",MOZ,0.427,0.054,-0.392,-0.154,-0.551,0.165,0.135,-0.339,0.317,0.234,-0.061,-0.189,0.265,-0.283,-0.142,-0.121,0.485,0.365,0.096,0.077,-0.208,-0.072,0.796,0.16,-0.089,0.03,0.528,0.505,0.024,0.255,0.027,0.599,0.212,0.035,0.497,0.053,0.198,0.887,0.247,0.361,0.467,0.594,0.568,0.372,0.99,0.494,0.609,0.25,0.443,0.884,0.637,0.565,0.292,0.547,0.796,1.032,0.778,0.698,1.113,0.894,0.539,0.66,0.72,0.78,0.8400000000000001,0.9000000000000001,0.9600000000000002,1.0200000000000002,1.0800000000000003,1.1400000000000003,1.2000000000000004,1.2600000000000005,1.3200000000000005,1.3800000000000006,1.4400000000000006,1.5000000000000007,1.5600000000000007,1.6200000000000008,1.6800000000000008,1.7400000000000009
139,Myanmar,MMR,-0.035,-0.127,-0.178,0.031,-0.317,0.377,-0.073,-0.173,0.181,-0.052,-0.426,-0.02,0.248,-0.264,0.117,-0.378,-0.074,0.077,0.508,0.285,0.278,0.046,0.14,0.076,0.172,0.077,0.541,0.379,0.316,0.208,0.494,0.028,0.097,0.473,0.614,0.405,0.224,1.163,0.864,0.193,0.621,0.659,0.647,0.595,0.896,0.781,0.462,0.445,0.873,1.174,0.489,0.889,0.947,0.835,1.16,1.44,1.343,1.087,1.651,1.547,1.553,1.323,1.383,1.443,1.5030000000000001,1.5630000000000002,1.6230000000000002,1.6830000000000003,1.7430000000000003,1.8030000000000004,1.8630000000000004,1.9230000000000005,1.9830000000000005,2.0430000000000006,2.1030000000000006,2.1630000000000007,2.2230000000000008,2.283000000000001,2.343000000000001,2.403000000000001
140,Namibia,NAM,0.154,-0.07,0.063,-0.09,-0.095,0.103,-0.147,-0.168,0.216,0.483,-0.1,0.093,0.631,-0.724,0.006,-0.564,0.191,-0.07,0.368,0.161,-0.014,0.328,0.649,0.727,0.461,0.257,0.962,0.387,-0.378,0.637,0.09,0.534,0.65,0.185,0.891,0.096,-0.025,1.204,0.773,-0.105,0.37,0.882,1.242,0.944,0.786,-0.068,0.847,0.772,0.555,1.33,-0.356,0.014,0.883,0.535,1.155,1.442,0.954,1.391,2.267,0.835,0.131,0.359,0.419,0.479,0.5389999999999999,0.599,0.659,0.7190000000000001,0.7790000000000001,0.8390000000000002,0.8990000000000002,0.9590000000000003,1.0190000000000003,1.0790000000000004,1.1390000000000005,1.1990000000000005,1.2590000000000006,1.3190000000000006,1.3790000000000007,1.4390000000000007
141,"Nauru, Rep. of",NRU,-0.26,,,,,-0.356,,,,,-0.112,-0.433,0.403,0.302,0.172,-0.322,-0.579,0.267,0.261,0.017,0.163,-0.417,,-0.307,-0.239,,,,-0.001,-0.38,-0.206,-0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Nepal,NPL,0.129,-0.459,-0.212,0.154,-0.369,0.29,-0.264,-0.392,0.081,0.07,-0.538,0.028,0.211,0.191,-0.034,0.029,0.01,-0.394,0.329,0.156,-0.036,-0.095,-0.353,-0.009,0.387,-0.034,0.378,0.593,0.089,-0.02,0.115,-0.023,-0.124,0.207,0.365,0.272,-0.357,0.365,0.662,0.109,0.469,0.57,0.332,0.386,0.73,0.854,0.721,0.379,1.177,1.2,0.282,0.468,0.232,0.401,0.673,1.195,1.129,0.63,0.699,0.059,0.428,0.963,1.023,1.083,1.143,1.203,1.2630000000000001,1.3230000000000002,1.3830000000000002,1.4430000000000003,1.5030000000000003,1.5630000000000004,1.6230000000000004,1.6830000000000005,1.7430000000000005,1.8030000000000006,1.8630000000000007,1.9230000000000007,1.9830000000000008,2.0430000000000006
143,"Netherlands, The",NLD,0.85,-0.911,-1.273,-0.341,-0.73,0.27,0.757,0.157,-0.007,-0.59,0.047,-0.12,0.288,0.23,1.035,0.712,0.162,-0.066,-0.905,0.01,0.336,0.465,0.866,0.062,-0.849,-0.195,-0.501,0.798,1.543,1.567,0.265,1.185,0.251,1.37,1.545,-0.775,0.616,1.072,1.579,1.601,1.272,1.531,1.212,1.168,1.263,1.518,2.085,1.438,1.224,0.106,1.075,1.155,0.435,2.564,1.287,1.932,1.719,2.133,2.139,2.475,1.306,2.589,2.649,2.709,2.769,2.829,2.8890000000000002,2.9490000000000003,3.0090000000000003,3.0690000000000004,3.1290000000000004,3.1890000000000005,3.2490000000000006,3.3090000000000006,3.3690000000000007,3.4290000000000007,3.4890000000000008,3.549000000000001,3.609000000000001,3.669000000000001
144,New Caledonia,NCL,-0.221,0.112,-0.178,0.197,-0.77,-0.6,0.074,-0.383,-0.106,0.508,0.182,-0.15,0.856,0.335,0.267,0.166,0.005,0.142,0.06,0.273,0.193,0.045,0.55,0.19,0.369,0.231,-0.066,0.917,0.348,0.635,0.224,0.343,0.116,0.054,0.904,1.104,0.416,1.893,1.117,0.621,0.92,0.934,0.714,0.844,0.701,0.617,1.01,0.982,0.764,1.116,0.942,0.786,0.937,0.93,1.129,1.753,1.497,1.119,1.04,1.507,1.429,2.159,2.219,2.279,2.339,2.399,2.459,2.519,2.579,2.6390000000000002,2.6990000000000003,2.7590000000000003,2.8190000000000004,2.8790000000000004,2.9390000000000005,2.9990000000000006,3.0590000000000006,3.1190000000000007,3.1790000000000007,3.2390000000000008
145,New Zealand,NZL,-0.257,0.606,-0.332,-0.431,-0.429,-0.213,-0.166,-0.068,-0.386,0.586,0.665,0.104,0.18,0.349,0.576,-0.521,-0.399,0.376,0.304,-0.005,0.416,-0.075,-0.307,0.164,0.388,0.373,0.402,0.502,0.75,0.589,-0.016,-0.709,-0.366,-0.058,0.129,0.27,-0.104,1.002,1.038,0.293,0.596,0.441,0.257,0.051,0.457,0.402,0.251,0.577,0.084,0.63,0.719,0.182,1.042,0.568,0.591,1.238,0.637,1.164,1.118,0.917,0.992,1.337,1.397,1.457,1.5170000000000001,1.5770000000000002,1.6370000000000002,1.6970000000000003,1.7570000000000003,1.8170000000000004,1.8770000000000004,1.9370000000000005,1.9970000000000006,2.0570000000000004,2.1170000000000004,2.1770000000000005,2.2370000000000005,2.2970000000000006,2.3570000000000007,2.4170000000000007
146,Nicaragua,NIC,-0.109,-0.388,-0.205,-0.171,0.001,0.202,-0.338,-0.319,0.201,-0.241,-0.267,0.155,0.419,-0.265,0.069,-0.04,0.339,0.295,0.286,0.625,0.257,0.662,0.839,0.103,0.15,0.205,0.589,0.639,0.308,0.499,0.643,0.641,0.483,0.851,1.066,0.257,0.953,1.27,0.326,0.258,0.627,0.91,0.865,0.709,0.825,0.798,0.929,0.663,0.922,0.944,0.712,0.784,1.242,0.921,1.175,1.484,1.135,1.048,1.311,1.679,1.16,1.007,1.067,1.127,1.187,1.247,1.3070000000000002,1.3670000000000002,1.4270000000000003,1.4870000000000003,1.5470000000000004,1.6070000000000004,1.6670000000000005,1.7270000000000005,1.7870000000000006,1.8470000000000006,1.9070000000000007,1.9670000000000007,2.0270000000000006,2.0870000000000006
147,Niger,NER,-0.697,-0.197,0.358,-0.338,-0.076,-0.067,-0.33,0.102,0.764,0.079,-0.053,0.378,0.454,0.01,-0.399,0.297,-0.344,0.209,0.732,0.535,0.057,0.388,0.069,0.651,0.327,0.77,0.699,0.623,-0.343,0.525,0.908,-0.238,0.454,0.254,0.512,1.143,0.787,0.774,0.614,0.798,0.301,0.657,0.91,0.653,1.274,1.281,0.995,0.464,1.485,1.722,1.132,0.779,1.009,1.2,1.006,1.155,1.021,1.214,1.113,0.948,1.618,0.6,0.6599999999999999,0.72,0.78,0.8400000000000001,0.9000000000000001,0.9600000000000002,1.0200000000000002,1.0800000000000003,1.1400000000000003,1.2000000000000004,1.2600000000000005,1.3200000000000005,1.3800000000000006,1.4400000000000006,1.5000000000000007,1.5600000000000007,1.6200000000000008,1.6800000000000008
148,Nigeria,NGA,-0.237,-0.265,0.251,-0.285,-0.069,-0.097,-0.317,-0.034,0.4,0.225,-0.042,0.047,0.739,0.037,-0.274,0.078,0.303,0.028,0.568,0.424,0.208,0.391,0.283,0.833,0.428,0.579,0.853,0.537,-0.361,0.622,0.658,-0.072,0.502,0.43,0.385,0.754,0.697,1.079,0.805,0.602,0.303,0.831,0.885,0.786,1.243,1.283,0.919,0.695,1.385,1.499,0.929,0.586,0.986,1.023,1.186,1.147,1.16,1.05,1.155,1.047,1.534,0.821,0.881,0.9410000000000001,1.0010000000000001,1.0610000000000002,1.1210000000000002,1.1810000000000003,1.2410000000000003,1.3010000000000004,1.3610000000000004,1.4210000000000005,1.4810000000000005,1.5410000000000006,1.6010000000000006,1.6610000000000007,1.7210000000000008,1.7810000000000008,1.8410000000000009,1.901000000000001
149,Niue,NIU,0.309,-0.267,-0.378,0.173,-0.444,-0.325,-0.176,-0.018,,,,-0.24,0.525,0.041,-0.129,0.197,0.037,0.188,0.13,0.054,-0.145,0.067,0.329,0.429,0.235,0.117,0.227,0.629,0.177,0.276,0.519,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Norfolk Island,NFK,-0.315,0.396,0.1,0.17,-0.452,-0.265,0.201,-0.005,-0.365,0.446,0.378,-0.088,0.758,,,-0.179,-0.246,-0.118,0.015,-0.032,0.195,-0.042,0.269,0.149,0.212,0.282,-0.015,0.8,0.516,0.486,0.131,-0.143,-0.107,-0.161,0.463,0.818,,,,0.219,0.52,0.436,0.315,0.564,0.596,0.478,0.564,0.453,0.627,0.89,0.991,0.521,,,0.952,1.47,1.137,1.121,1.087,1.124,1.033,1.645,1.705,1.7650000000000001,1.8250000000000002,1.8850000000000002,1.9450000000000003,2.0050000000000003,2.0650000000000004,2.1250000000000004,2.1850000000000005,2.2450000000000006,2.3050000000000006,2.3650000000000007,2.4250000000000007,2.4850000000000008,2.545000000000001,2.605000000000001,2.665000000000001,2.725000000000001
151,"North Macedonia, Republic of ",MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.022,1.486,-0.037,-0.107,-0.1,0.776,0.623,1.098,1.613,0.39,0.653,0.389,0.184,0.409,1.561,1.173,1.053,1.4,0.789,1.496,1.462,1.331,1.513,1.682,1.103,2.115,1.872,1.519,1.583,1.463,1.5230000000000001,1.5830000000000002,1.6430000000000002,1.7030000000000003,1.7630000000000003,1.8230000000000004,1.8830000000000005,1.9430000000000005,2.0030000000000006,2.0630000000000006,2.1230000000000007,2.1830000000000007,2.2430000000000008,2.303000000000001,2.363000000000001,2.423000000000001,2.483000000000001,2.543000000000001
152,Norway,NOR,1.239,-0.772,-0.124,0.38,-0.258,-1.638,0.56,-0.936,-0.173,-0.697,-0.08,0.933,0.921,0.97,1.062,-0.037,-0.55,-0.098,-1.066,-0.308,-0.487,-0.049,0.639,0.54,-0.587,-0.425,-0.825,0.483,1.747,1.524,0.983,1.126,0.703,0.069,0.947,-0.055,0.768,0.39,1.264,1.433,0.617,1.391,1.093,1.307,1.762,1.505,1.699,1.616,1.4,-0.342,1.399,1.056,0.792,2.423,1.784,1.719,1.553,1.488,1.205,2.391,1.502,1.916,1.976,2.036,2.096,2.156,2.216,2.2760000000000002,2.3360000000000003,2.3960000000000004,2.4560000000000004,2.5160000000000005,2.5760000000000005,2.6360000000000006,2.6960000000000006,2.7560000000000007,2.8160000000000007,2.876000000000001,2.936000000000001,2.996000000000001
153,Oman,OMN,-0.114,0.589,0.236,-0.643,-0.509,0.12,0.03,-0.614,0.219,0.829,0.077,-0.094,-0.173,-0.132,-0.22,0.224,0.609,0.143,0.133,-0.014,0.156,-0.343,-0.674,-0.641,-0.081,-0.062,0.069,0.184,-0.374,0.031,-0.345,-0.611,0.29,0.17,0.022,-0.093,-0.195,0.778,0.614,0.598,0.699,0.93,0.821,0.701,0.836,0.901,0.757,0.632,0.824,1.227,0.977,0.9,0.624,0.63,1.351,1.097,1.582,1.319,1.089,0.757,1.537,1.226,1.286,1.346,1.4060000000000001,1.4660000000000002,1.5260000000000002,1.5860000000000003,1.6460000000000004,1.7060000000000004,1.7660000000000005,1.8260000000000005,1.8860000000000006,1.9460000000000006,2.0060000000000007,2.0660000000000007,2.126000000000001,2.186000000000001,2.246000000000001,2.306000000000001
154,Pakistan,PAK,-0.28,-0.262,0.402,-0.374,-0.307,-0.161,-0.311,-0.475,0.245,0.569,0.188,-0.471,0.116,-0.179,-0.554,-0.256,0.392,0.027,-0.013,0.474,0.366,-0.318,-0.334,-0.119,0.318,-0.196,0.27,0.833,-0.166,0.538,-0.163,-0.292,0.522,0.289,0.018,-0.037,-0.285,0.53,0.961,0.807,0.88,1.141,0.672,1.188,0.38,1.218,0.855,0.569,1.191,1.45,1.006,0.446,0.991,0.57,0.735,1.371,1.47,1.572,0.774,0.618,1.344,1.615,1.675,1.735,1.7950000000000002,1.8550000000000002,1.9150000000000003,1.9750000000000003,2.035,2.095,2.1550000000000002,2.2150000000000003,2.2750000000000004,2.3350000000000004,2.3950000000000005,2.4550000000000005,2.5150000000000006,2.5750000000000006,2.6350000000000007,2.6950000000000007
155,"Palau, Rep. of",PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.049,0.19,0.249,0.313,0.305,0.573,0.391,0.386,0.439,0.567,0.526,0.75,0.592,0.64,0.746,,0.847,0.802,0.785,0.93,0.753,0.816,1.084,1.155,1.031,1.112,,,1.337,1.548,1.608,1.6680000000000001,1.7280000000000002,1.7880000000000003,1.8480000000000003,1.9080000000000004,1.9680000000000004,2.0280000000000005,2.0880000000000005,2.1480000000000006,2.2080000000000006,2.2680000000000007,2.3280000000000007,2.388000000000001,2.448000000000001,2.508000000000001,2.568000000000001,2.628000000000001
156,Panama,PAN,-0.04,-0.462,-0.137,-0.257,-0.161,0.131,-0.191,-0.147,0.241,0.133,-0.335,0.068,0.157,-0.379,-0.392,-0.019,0.247,0.134,0.215,0.494,0.317,0.468,0.975,0.061,-0.086,0.136,0.642,0.267,0.17,0.482,0.59,0.447,0.521,0.5,0.625,0.345,0.703,1.045,-0.033,0.197,0.609,0.948,0.994,0.777,0.786,0.813,0.716,0.39,0.917,0.964,0.569,0.834,0.932,0.948,1.195,1.112,0.851,1.161,1.277,1.296,0.983,0.481,0.5409999999999999,0.601,0.661,0.7210000000000001,0.7810000000000001,0.8410000000000002,0.9010000000000002,0.9610000000000003,1.0210000000000004,1.0810000000000004,1.1410000000000005,1.2010000000000005,1.2610000000000006,1.3210000000000006,1.3810000000000007,1.4410000000000007,1.5010000000000008,1.5610000000000008
157,Papua New Guinea,PNG,-0.193,0.197,-0.042,0.08,-0.496,-0.091,-0.216,-0.04,0.159,0.225,0.009,-0.305,0.227,0.061,0.073,-0.231,-0.013,0.251,0.195,0.237,0.334,-0.048,0.336,0.319,0.223,0.343,0.404,0.673,0.435,0.417,0.358,0.547,0.408,0.395,0.697,0.674,0.247,1.105,0.468,0.535,0.678,0.752,0.733,0.403,0.81,0.457,0.542,0.491,0.524,1.165,0.511,0.327,0.855,0.357,0.196,1.147,1.136,0.853,0.847,1.223,1.356,1.383,1.443,1.5030000000000001,1.5630000000000002,1.6230000000000002,1.6830000000000003,1.7430000000000003,1.8030000000000004,1.8630000000000004,1.9230000000000005,1.9830000000000005,2.0430000000000006,2.1030000000000006,2.1630000000000007,2.2230000000000008,2.283000000000001,2.343000000000001,2.403000000000001,2.463000000000001
158,Paraguay,PRY,0.551,-0.672,0.885,-0.283,-0.103,-0.084,0.493,-0.051,0.412,0.27,-0.406,0.412,0.057,-0.298,-0.068,-0.38,0.76,0.73,0.163,0.225,0.455,0.426,-0.254,0.542,0.426,0.907,0.238,-0.04,-0.097,0.025,0.677,-0.358,0.241,0.899,0.609,0.155,0.924,0.267,0.149,0.216,0.739,1.22,0.845,0.493,0.62,1.0,0.335,0.355,0.991,0.415,0.691,0.919,0.432,1.26,1.623,0.36,1.278,0.657,1.43,1.477,0.833,0.803,0.863,0.923,0.9830000000000001,1.0430000000000001,1.1030000000000002,1.1630000000000003,1.2230000000000003,1.2830000000000004,1.3430000000000004,1.4030000000000005,1.4630000000000005,1.5230000000000006,1.5830000000000006,1.6430000000000007,1.7030000000000007,1.7630000000000008,1.8230000000000008,1.883000000000001
159,Peru,PER,-0.022,-0.152,0.035,-0.272,0.157,0.03,-0.295,-0.366,0.439,-0.071,-0.477,0.324,0.117,-0.297,-0.266,-0.086,0.278,0.121,0.265,0.378,0.089,0.212,1.319,0.251,0.127,0.178,0.925,0.513,0.066,0.411,0.537,0.908,0.544,0.522,0.792,0.15,0.869,1.302,0.276,0.32,0.441,0.741,0.74,0.696,0.802,0.754,0.575,0.619,0.854,1.022,0.823,0.931,0.706,0.879,1.265,1.445,1.023,0.799,1.095,1.318,0.878,0.552,0.6120000000000001,0.6720000000000002,0.7320000000000002,0.7920000000000003,0.8520000000000003,0.9120000000000004,0.9720000000000004,1.0320000000000005,1.0920000000000005,1.1520000000000006,1.2120000000000006,1.2720000000000007,1.3320000000000007,1.3920000000000008,1.4520000000000008,1.512000000000001,1.572000000000001,1.632000000000001
160,Philippines,PHL,-0.121,-0.092,-0.323,-0.005,-0.269,0.193,-0.129,-0.097,0.136,0.209,-0.328,0.025,0.295,-0.071,0.055,-0.161,0.272,0.193,0.359,0.148,0.244,0.159,0.619,0.177,0.349,0.274,0.56,0.777,0.273,0.405,0.334,0.407,0.404,0.481,0.528,0.432,0.505,1.331,0.558,0.669,0.819,0.715,0.784,0.685,0.78,0.827,0.875,0.562,0.726,1.066,0.621,0.881,1.024,0.905,1.105,1.563,1.208,1.242,1.318,1.47,1.334,1.309,1.369,1.429,1.489,1.5490000000000002,1.6090000000000002,1.6690000000000003,1.7290000000000003,1.7890000000000004,1.8490000000000004,1.9090000000000005,1.9690000000000005,2.0290000000000004,2.0890000000000004,2.1490000000000005,2.2090000000000005,2.2690000000000006,2.3290000000000006,2.3890000000000007
161,Pitcairn Islands,PCN,0.625,0.173,0.246,0.309,0.296,-0.42,0.453,-0.32,-0.211,0.437,0.126,-0.265,-0.322,-0.107,-0.011,-0.374,-0.703,-0.244,-0.535,-0.195,-0.134,-0.038,-0.693,0.193,0.39,0.174,-0.231,0.027,0.34,0.118,-0.305,-0.415,-0.594,-0.234,-0.077,-0.29,-0.309,-0.501,,0.438,0.195,0.534,-0.12,-0.516,-0.287,0.473,0.048,-0.033,-0.195,-0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Poland, Rep. of",POL,1.401,-0.51,-0.878,-0.711,-1.051,0.562,1.143,0.467,-0.486,-1.281,0.138,0.481,0.421,0.489,1.461,-0.307,0.424,-0.234,-0.775,-0.759,0.433,0.319,1.446,0.232,-1.049,0.011,-1.085,0.676,1.689,1.704,0.407,1.141,0.063,1.369,1.108,-0.793,0.009,0.945,1.196,1.88,1.282,1.697,0.364,0.777,0.874,0.827,2.138,1.741,1.264,0.392,0.755,1.372,0.638,2.356,1.986,2.03,1.451,2.411,2.632,2.658,1.449,2.04,2.1,2.16,2.22,2.2800000000000002,2.3400000000000003,2.4000000000000004,2.4600000000000004,2.5200000000000005,2.5800000000000005,2.6400000000000006,2.7000000000000006,2.7600000000000007,2.8200000000000007,2.880000000000001,2.940000000000001,3.000000000000001,3.060000000000001,3.120000000000001
163,Portugal,PRT,0.83,0.539,-0.07,0.527,-0.22,0.285,-0.047,0.019,-0.354,0.073,-0.891,-0.929,-0.086,-0.466,-0.113,-0.38,-0.292,0.153,0.148,0.255,0.531,0.544,0.274,-0.142,0.503,0.067,0.718,0.601,1.093,1.38,0.424,0.413,-0.22,0.655,1.643,0.734,1.581,1.176,0.559,0.595,1.087,0.634,1.405,0.965,0.922,1.479,0.698,0.595,1.315,1.064,1.551,0.74,0.887,1.309,1.352,1.673,2.111,0.862,1.249,1.95,1.198,2.256,2.316,2.376,2.436,2.496,2.556,2.616,2.676,2.736,2.7960000000000003,2.8560000000000003,2.9160000000000004,2.9760000000000004,3.0360000000000005,3.0960000000000005,3.1560000000000006,3.2160000000000006,3.2760000000000007,3.3360000000000007
164,Puerto Rico,PRI,-0.067,-0.142,0.097,0.044,-0.363,-0.011,-0.198,-0.257,0.504,0.135,-0.247,-0.038,0.3,-0.324,-0.114,-0.318,0.234,0.26,0.212,0.691,0.718,0.267,0.685,0.319,0.012,0.273,0.668,0.623,0.112,0.5,0.501,0.415,0.539,0.733,0.797,0.474,0.599,1.269,0.639,0.122,0.812,1.005,,,,,,,1.04,1.905,0.92,,,,,,,,,,0.695,0.697,0.7569999999999999,0.817,0.877,0.937,0.9970000000000001,1.0570000000000002,1.1170000000000002,1.1770000000000003,1.2370000000000003,1.2970000000000004,1.3570000000000004,1.4170000000000005,1.4770000000000005,1.5370000000000006,1.5970000000000006,1.6570000000000007,1.7170000000000007,1.7770000000000008
165,Qatar,QAT,-0.55,0.512,0.443,-0.404,0.382,0.442,-0.212,-0.495,0.708,0.306,-0.115,-0.735,-0.263,-0.341,-0.284,-0.566,0.271,0.143,0.761,0.384,0.409,-0.16,-0.891,0.008,0.377,0.542,0.353,0.466,-0.099,0.357,-0.176,-0.551,-0.001,0.635,0.032,0.465,0.033,1.142,1.706,0.944,0.973,1.455,1.183,1.23,0.843,1.65,0.98,1.155,1.102,1.992,1.442,1.374,1.226,1.553,1.969,1.539,1.915,2.027,1.861,1.745,2.175,1.865,1.925,1.985,2.045,2.105,2.165,2.225,2.285,2.345,2.4050000000000002,2.4650000000000003,2.5250000000000004,2.5850000000000004,2.6450000000000005,2.7050000000000005,2.7650000000000006,2.8250000000000006,2.8850000000000007,2.9450000000000007
